set,subset,instance,m,n,W,H,sum_w,sum_h,m',n',W',H',sum_w',sum_h',ub,lb,gap,opt,OOM,pre_time(s),ub0_time(s),dp_time(s),bid_time(s),time(s)
Set1,(2-3)s+A(1-2)s,2s,10,23,40,70,326,348,10,23,40,70,326,348,2778,2778,0,1,0,0.003,0.004,0.004,0.028,0.039
Set1,(2-3)s+A(1-2)s,3s,20,62,40,70,1529,1742,19,62,40,70,1529,1742,2721,2721,0,1,0,0.002,0.001,0.002,0,0.006
Set1,(2-3)s+A(1-2)s,A1s,20,62,50,60,1529,1742,19,62,50,60,1529,1742,2950,2950,0,1,0,0,0.001,0,0,0.001
Set1,(2-3)s+A(1-2)s,A2s,20,53,60,60,1248,1436,20,53,60,60,1248,1436,3535,3535,0,1,0,0,0.001,0.001,0.001,0.003
Set1,A(3-5),A3,20,46,70,80,1178,1314,20,46,70,80,1178,1314,5451,5451,0,1,0,0.002,0.002,0.003,0.208,0.215
Set1,A(3-5),A4,20,35,90,70,828,962,19,35,90,70,828,962,6179,6179,0,1,0,0.001,0.003,0.002,0.075,0.081
Set1,A(3-5),A5,20,45,132,100,1620,1468,20,45,132,100,1620,1468,12985,12985,0,1,0,0.001,0.004,0.003,0.3,0.308
Set1,APT(30-39),APT30,38,192,927,152,41137,5123,38,192,927,152,41137,5123,140904,140904,0,1,0,0.011,0.157,0.1,0,0.268
Set1,APT(30-39),APT31,51,258,856,964,48131,56030,51,258,856,964,48131,56030,823976,823976,0,1,0,0.046,1.297,0,3.62,4.963
Set1,APT(30-39),APT32,56,249,307,124,17230,6238,55,249,307,124,17230,6238,38068,38068,0,1,0,0.002,0.016,0,3.428,3.446
Set1,APT(30-39),APT33,44,224,241,983,12828,48578,44,224,241,983,12828,48578,236611,236611,0,1,0,0.01,0.139,0,0.935,1.084
Set1,APT(30-39),APT34,27,130,795,456,21550,10170,27,130,795,456,21550,10170,361720,361398,8.90E-04,0,0,0.011,0.306,0.248,36.128,36.693
Set1,APT(30-39),APT35,29,153,960,649,33503,20151,29,153,960,649,33503,20151,621021,621021,0,1,0,0.02,0.634,0.336,32.144,33.134
Set1,APT(30-39),APT36,28,153,537,244,16383,8769,28,153,537,244,16383,8769,130744,130744,0,1,0,0.003,0.067,0.043,0.181,0.294
Set1,APT(30-39),APT37,43,222,440,881,22049,43004,43,222,440,881,22049,43004,387276,387276,0,1,0,0.018,0.318,0,0.554,0.89
Set1,APT(30-39),APT38,40,202,731,358,35227,14187,40,202,731,358,35227,14187,261395,261395,0,1,0,0.009,0.218,0,6.186,6.413
Set1,APT(30-39),APT39,33,163,538,501,22344,20648,33,163,538,501,22344,20648,268750,268750,0,1,0,0.008,0.15,0.078,0.142,0.378
Set1,CHL(1-4)s,CHL1s,30,63,132,100,2110,2102,30,63,132,100,2110,2102,13099,13099,0,1,0,0,0.002,0.001,0.285,0.288
Set1,CHL(1-4)s,CHL2s,10,19,62,55,426,334,10,19,62,55,426,334,3279,3279,0,1,0,0,0,0,0.004,0.004
Set1,CHL(1-4)s,CHL3s,15,35,157,121,632,462,14,35,157,121,632,462,7402,7402,0,1,0,0,0,0,0,0
Set1,CHL(1-4)s,CHL4s,15,27,207,231,679,570,15,27,207,231,679,570,13932,13932,0,1,0,0.001,0,0,0,0.001
Set1,CHL(5-7),CHL5,10,18,20,20,176,115,10,18,20,20,176,115,390,390,0,1,0,0,0,0,0.004,0.004
Set1,CHL(5-7),CHL6,30,65,130,130,2394,2244,30,65,130,130,2394,2244,16869,16869,0,1,0,0.001,0.016,0.002,0.005,0.024
Set1,CHL(5-7),CHL7,35,75,130,130,2612,2479,34,75,130,130,2612,2479,16881,16881,0,1,0,0.001,0.003,0.003,0.013,0.02
Set1,CU(1-11),CU1,25,82,100,125,2425,4375,25,82,100,125,2425,4375,12330,12330,0,1,0,0.001,0,0.001,0,0.002
Set1,CU(1-11),CU2,35,90,150,175,5392,5696,34,90,150,175,5392,5696,26100,26100,0,1,0,0.001,0.003,0.001,0,0.005
Set1,CU(1-11),CU3,45,158,134,125,7279,6887,45,158,134,125,7279,6887,16723,16723,0,1,0,0.002,0.002,0.004,0,0.008
Set1,CU(1-11),CU4,45,113,285,354,11979,14204,45,113,285,354,11979,14204,99495,99495,0,1,0,0.002,0.015,0.003,0,0.02
Set1,CU(1-11),CU5,50,120,456,385,22609,17218,50,120,456,385,22609,17218,173364,173364,0,1,0,0.005,0.023,0.003,0,0.031
Set1,CU(1-11),CU6,45,124,356,447,17368,18875,45,124,356,447,17368,18875,158572,158572,0,1,0,0.004,0.019,0.004,0,0.027
