set,subset,instance,m,n,W,H,sum_w,sum_h,m',n',W',H',sum_w',sum_h',ub,lb,ub',lb',gap,opt,OOM,pre_time(s),ub0_time(s),dp_time(s),bid_time(s),time(s)
Set1,(2-3)s+A(1-2)s,2s,10,23,40,70,326,348,10,23,40,70,326,348,2778,2778,2778,2778,0,1,0,0.005,0.004,0.003,0.017,0.029
Set1,(2-3)s+A(1-2)s,3s,20,62,40,70,1529,1742,19,51,40,70,1277,1336,2721,2721,2721,2721,0,1,0,0.004,0.002,0.001,0.001,0.008
Set1,(2-3)s+A(1-2)s,A1s,20,62,50,60,1529,1742,19,53,50,60,1272,1411,2950,2950,2950,2950,0,1,0,0.002,0,0,0,0.002
Set1,(2-3)s+A(1-2)s,A2s,20,53,60,60,1248,1436,20,53,60,60,1248,1460,3535,3535,3535,3535,0,1,0,0.003,0.001,0,0.001,0.005
Set1,A(3-5),A3,20,46,70,80,1178,1314,20,46,70,80,1178,1314,5451,5451,5451,5451,0,1,0,0.002,0.001,0.001,0.218,0.222
Set1,A(3-5),A4,20,35,90,70,828,962,19,35,90,70,828,962,6179,6179,6179,6179,0,1,0,0.001,0.002,0.001,0.094,0.098
Set1,A(3-5),A5,20,45,132,100,1620,1468,20,45,132,100,1620,1471,12985,12985,12985,12985,0,1,0,0.005,0.004,0.003,0.333,0.345
Set1,APT(30-39),APT30,38,192,927,152,41137,5123,38,192,927,152,41137,5123,140904,140904,140904,140904,0,1,0,0.014,0.132,0.1,0,0.246
Set1,APT(30-39),APT31,51,258,856,964,48131,56030,51,258,856,964,48131,56030,823976,823976,823976,823976,0,1,0,0.093,1.271,0,12.359,13.723
Set1,APT(30-39),APT32,56,249,307,124,17230,6238,55,249,307,124,17230,6238,38068,38068,38068,38068,0,1,0,0.007,0.016,0,5.677,5.7
Set1,APT(30-39),APT33,44,224,241,983,12828,48578,44,224,241,983,12828,48578,236611,236611,236611,236611,0,1,0,0.025,0.187,0,0.928,1.14
Set1,APT(30-39),APT34,27,130,795,456,21550,10170,27,130,795,456,21550,10170,361951,361398,361951,361398,0.001527831,0,0,0.022,0.336,0.26,36.075,36.693
Set1,APT(30-39),APT35,29,153,960,649,33503,20151,29,153,960,649,33503,20151,621348,621021,621348,621021,5.26E-04,0,0,0.046,0.645,0.345,35.657,36.693
Set1,APT(30-39),APT36,28,153,537,244,16383,8769,28,153,537,244,16383,8769,130744,130744,130744,130744,0,1,0,0.008,0.072,0.051,0.236,0.367
Set1,APT(30-39),APT37,43,222,440,881,22049,43004,43,222,440,881,22049,43004,387276,387276,387276,387276,0,1,0,0.042,0.343,0,0.31,0.695
Set1,APT(30-39),APT38,40,202,731,358,35227,14187,40,202,731,358,35227,14187,261395,261395,261395,261395,0,1,0,0.023,0.232,0,18.582,18.837
Set1,APT(30-39),APT39,33,163,538,501,22344,20648,33,163,538,501,22344,20648,268750,268750,268750,268750,0,1,0,0.016,0.171,0.085,0.151,0.423
