set,subset,instance,m,n,W,H,sum_w,sum_h,m',n',W',H',sum_w',sum_h',ub,lb,gap,opt,OOM,pre_time(s),ub0_time(s),dp_time(s),bid_time(s),time(s)
Others,CGCUT(1-2),CGCUT1,7,16,15,10,72,52,7,16,15,10,78,52,244,244,0.0,1,0,0.006,0.001,0.001,0.008,0.016
Others,CGCUT(1-2),CGCUT2,10,23,40,70,326,348,10,23,40,70,326,348,2892,2892,0.0,1,0,0.001,0.003,0.003,0.009,0.016
Set1,(2-3)s+A(1-2)s,2s,10,23,40,70,326,348,10,23,40,70,326,348,2778,2778,0.0,1,0,0.001,0.003,0.001,0.009,0.014
Set1,(2-3)s+A(1-2)s,3s,20,62,40,70,1529,1742,18,49,40,70,1215,1264,2721,2721,0.0,1,0,0.005,0.001,0.001,0.001,0.008
Set1,(2-3)s+A(1-2)s,A1s,20,62,50,60,1529,1742,18,51,50,60,1210,1327,2950,2950,0.0,1,0,0.002,0.0,0.0,0.0,0.002
Set1,(2-3)s+A(1-2)s,A2s,20,53,60,60,1248,1436,18,49,60,60,1136,1292,3535,3535,0.0,1,0,0.002,0.001,0.003,0.0,0.006
Set1,A(3-5),A3,20,46,70,80,1178,1314,20,46,70,80,1178,1314,5451,5451,0.0,1,0,0.001,0.002,0.002,0.035,0.04
Set1,A(3-5),A4,20,35,90,70,828,962,19,35,90,70,828,962,6179,6179,0.0,1,0,0.001,0.002,0.003,0.047,0.053
Set1,A(3-5),A5,20,45,132,100,1620,1468,20,45,132,100,1620,1471,12985,12985,0.0,1,0,0.003,0.005,0.002,0.213,0.223
Set1,APT(30-39),APT30,38,192,927,152,41137,5123,38,192,927,152,41137,5123,140904,140904,0.0,1,0,0.01,0.139,0.114,0.0,0.263
Set1,APT(30-39),APT31,51,258,856,964,48131,56030,51,258,856,964,48131,56030,823976,823976,0.0,1,0,0.067,1.495,0.0,3.251,4.813
Set1,APT(30-39),APT32,56,249,307,124,17230,6238,55,249,307,124,17230,6238,38068,38068,0.0,1,0,0.007,0.017,0.0,0.325,0.349
Set1,APT(30-39),APT33,44,224,241,983,12828,48578,44,224,241,983,12828,48578,236611,236611,0.0,1,0,0.021,0.22,0.0,0.483,0.724
